index,sample_id,question,gold,pred,exact_match,f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,bert_f1,meteor,sbert_similarity,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,run_dir
0,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,4,5,1312,hard_budget_exhausted,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/000_0
1,1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3,4,1056,frontier_empty,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/001_1
2,2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Leonardo DiCaprio Fact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,2,640,frontier_empty,memory,memory_mem_18,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/002_2
3,3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,London,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/003_3
4,4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3,3,960,frontier_empty,memory,memory_mem_14,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/004_4
5,5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3,4,1056,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/005_5
6,6,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/006_6
7,7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated",Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/007_7
8,8,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/008_8
9,9,Are Local H and For Against both from the United States?,yes,Reasoning Pattern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_20,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/009_9
