index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,steps,llm_calls,generated_tokens,stop_reason,anytime_answer,anytime_answer_score,anytime_answer_source,best_node_type,best_node_id,run_dir
0,2hop__496961_554601,What's the place of birth of the former member of The Sunnyboys?,Kingscliff,"Kingscliff, New South Wales",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,"[""Sunnyboys"", ""Jeremy Oxley"", ""Birth certificate"", ""La Rosiere de Pessac"", ""Natural-born-citizen clause"", ""A Prisoner of Birth"", ""Female reproductive system"", ""2018 Illinois gubernatorial election""]","[""Sunnyboys"", ""Jeremy Oxley""]",2,4,329,llm_stop_with_root_memory,"Kingscliff, New South Wales",0.8654,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/000_2hop__496961_554601
1,2hop__29368_29376,What event caused the founder of Australia's liberal party to become Prime Minister?,Lyons' death in 1939,Defeating the Labor government of Ben Chifley in 1949,0,0,0.166667,0.166667,0.0,0.166667,0.125,0.0,0.0,0.0,0.227273,1,"[""Liberal Party of Australia"", ""Barton Government"", ""History of Australia"", ""Prime Minister of Canada"", ""Jean Pelletier"", ""Second Filat Cabinet"", ""Australia in the Korean War"", ""Lyons Government"", ""Hung parliament"", ""People's Congress Party"", ""Lyle Vanclief"", ""Amama Mbabazi"", ""David Lloyd George""]","[""Liberal Party of Australia""]",3,6,627,llm_stop_with_root_memory,Defeating the Labor government of Ben Chifley in 1949,0.8353999999999999,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/001_2hop__29368_29376
2,2hop__77601_814677,What pantheon is the God of the underworld in ancient Egypt a part of?,ancient Egyptian religion,Ancient Egyptian pantheon,0,0,0.666667,0.666667,0.5,0.666667,0.666667,0.5,0.0,0.0,0.666667,1,"[""Book of Exodus"", ""Greek mythology"", ""Temple of Kom Ombo"", ""Romance of the Underworld"", ""Statue of Liberty"", ""The Rape of Proserpina"", ""The Exodus"", ""Hapi (Son of Horus)"", ""History of medicine"", ""Osiris"", ""History of timekeeping devices""]","[""Hapi (Son of Horus)"", ""Osiris""]",6,13,1060,frontier_empty,Ancient Egyptian pantheon,0.9368822261897041,final_synthesis,state,state_1,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/002_2hop__77601_814677
3,2hop__92051_827343,Who is the sibling of the actress who played Susan Walker in Miracle on 34th street?,Lana Wood,Will Wilson,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Mara Wilson"", ""Tora Suber"", ""Susan Banks"", ""Miracle on 34th Street"", ""Bit part"", ""Mr. Noodle"", ""The Miracle Child""]","[""Five Finger Exercise"", ""Miracle on 34th Street""]",5,12,814,frontier_empty,Will Wilson,0.8128791942234436,final_synthesis,state,state_1,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/003_2hop__92051_827343
4,2hop__16581_16525,When did the person who first brought a postal service into Umayyad lands become caliph?,661,661,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""Punjab, Pakistan"", ""Umayyad Caliphate"", ""Postage stamps and postal history of India"", ""Mu'awiya ibn Hisham"", ""Portugal"", ""Dome of the Rock""]","[""Umayyad Caliphate""]",7,14,1071,final_synthesis_reserve,,0.0,,memory,memory_mem_5,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/004_2hop__16581_16525
5,2hop__88906_55840,"In the King's Speech, who played the person who was the King of England in 1950?",Colin Firth,Colin Firth,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""The King's Speech"", ""Lascelles Principles"", ""Dwight King"", ""Richard of Shrewsbury, Duke of York"", ""List of English monarchs"", ""Gunhilde"", ""Civil disobedience"", ""Goi of Baekje"", ""Poor People's Campaign"", ""George VI"", ""August Rush"", ""King James Version"", ""Raymond Márquez"", ""Sacramento Kings"", ""Taylor King"", ""Oriel College, Oxford"", ""Æthelflæd of Damerham"", ""Edward II (play)""]","[""The King's Speech"", ""George VI""]",5,10,805,high_confidence_root_memory,Colin Firth,0.8654,final_synthesis,memory,memory_mem_8,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/005_2hop__88906_55840
6,2hop__555792_30351,Who did Hayek work for upon being hired by the author of Omnipotent Government?,the Austrian government,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Friedrich Hayek"", ""Chris Metzen"", ""Omnipotent Government"", ""Nicholas Eftimiades"", ""Jean de La Hire""]","[""Omnipotent Government"", ""Friedrich Hayek""]",7,13,1101,final_synthesis_reserve,,0.0,,state,state_5,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/006_2hop__555792_30351
7,2hop__10122_18974,Who led the military expedition to where now Min dialects are spoken on border with Zhejiang?,Chen Zheng,Chen Zheng,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""Zhejiang"", ""Hokkien"", ""Normans"", ""Punjab, Pakistan"", ""Greece"", ""Chukotkan languages"", ""Armenians"", ""Old English"", ""Dialect""]","[""Hokkien"", ""Zhejiang""]",8,13,1130,final_synthesis_reserve,,0.0,,memory,memory_mem_8,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/007_2hop__10122_18974
8,2hop__326404_120065,When did Charles Frederick II's birthplace fall?,1738,1806,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Electorate of Baden"", ""Kingdom of Naples"", ""Frederick Charles Adler"", ""Anna of Hohenstaufen"", ""Cornstalk Heights"", ""Charles Frederick II, Duke of Württemberg-Oels"", ""Prince Louis Charles of Prussia"", ""Maximilian von Alopaeus"", ""Darwinius"", ""List of That '70s Show characters"", ""Andronikos V Palaiologos"", ""Merseburg"", ""Sixth Crusade"", ""USS Charles R. Greer (DE-23)""]","[""Merseburg"", ""Charles Frederick II, Duke of Württemberg-Oels""]",7,13,1091,final_synthesis_reserve,,0.0,,memory,memory_mem_6,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/008_2hop__326404_120065
9,2hop__16844_20510,When was the entity that was dissolved after the Indian Rebellion in 1857 chartered?,1600,1600,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""Article 370 of the Constitution of India"", ""Queen Victoria"", ""British Raj"", ""Modern history"", ""Bahadur Shah Zafar"", ""British Empire"", ""East India Company"", ""William Stephen Raikes Hodson"", ""Jamsetji Tata"", ""Vaikom Padmanabha Pillai"", ""List of governors-general of India"", ""Fort Ruhya""]","[""British Empire"", ""Queen Victoria""]",2,4,307,llm_stop_with_root_memory,1600,0.8775063362306537,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260523_143059/runs/009_2hop__16844_20510
