index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,steps,llm_calls,generated_tokens,stop_reason,anytime_answer,anytime_answer_score,anytime_answer_source,best_node_type,best_node_id,run_dir
0,0,Which post DC Extended Universe actress will also play a role in what is intended to be the fifth installment of the DC Extended Universe?,Gal Gadot,Gal Gadot,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,6,11,981,final_synthesis_reserve,Gal Gadot,1.0,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/000_0
1,1,"What was the name of the fanzine that interviewed the Sex Pistols bassist when he was in the band ""The Flowers of Romance?""",SKUM,Glen Matlock,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,11,1004,final_synthesis_reserve,,0.0,,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/001_1
2,2,"Which case was decided first, Selle v. Gibb or Reynolds v. Sims?",1964,Sims,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,12,976,final_synthesis_reserve,Sims,0.9068029424249596,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/002_2
3,3,Hate Them is the ninth album by a band likened to who?,Motörhead,Bathory and Celtic Frost,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,13,1006,final_synthesis_reserve,,0.0,,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/003_3
4,4,"With whom did this American singer, songwriter and record producer, who contributed to the single ""Marvin Gaye"" with Julie Frost, co-produced and performed the 2015 song for a movie soundtrack?",Wiz Khalifa,Wiz Khalifa,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,2,7,976,anytime_token_guard,Wiz Khalifa,0.9605065849387667,final_synthesis,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/004_4
5,5,Which North American tribe inhabited the banks of the Winnipesaukee River and were also known as the Pawtucket people?,the Pennacook people,Pennacook,0,1,0.666667,0.666667,0.0,0.666667,0.367879,0.0,0.0,0.0,0.526316,0,3,6,440,llm_stop_with_root_memory,Pennacook,0.9842197810298002,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/005_5
6,6,Which part of Scotland is this institute found where Alice König is a lecturer in Latin and Classical Studies?,"St Andrews, Fife, Scotland",Fife,0,1,0.4,0.4,0.0,0.4,0.049787,0.0,0.0,0.0,0.27027,0,7,10,682,frontier_empty,Brandeis University in,0.8241358425263737,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/006_6
7,7,What is Rachelle Amy Beinart's role in the film that follows a group of rebels on a mission?,stunt performances,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,11,1028,final_synthesis_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/007_7
8,8,The History of Ranching is a mural that was originally located at an American brewery that in 1999 began trasfering its production to who?,Miller Brewing,Miller Brewing,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,9,13,1011,final_synthesis_reserve,Miller Brewing,0.8322259417698182,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/008_8
9,9,Do Bloody Mary and Sidecar share any ingredients in common?,no,No,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,7,13,1025,final_synthesis_reserve,No,0.8857668194409579,final_synthesis,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260508_144733/runs/009_9
