index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,2hop__460946_294723,Who is the spouse of the Green performer?,"[""Miquette Giraudy""]","The Green performer is not a standard or widely recognized title, so the spouse cannot be determined",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Miquette Giraudy"", ""Green (Steve Hillage album)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/001_2hop__460946_294723
2,2hop__252311_366220,Who founded the company that distributed the film UHF?,"[""Mike Medavoy""]",Orion Pictures,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Mike Medavoy"", ""UHF (film)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/002_2hop__252311_366220
3,2hop__701895_752697,What administrative territorial entity is the owner of Ciudad Deportiva located?,"[""Tamaulipas""]",Madrid,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Nuevo Laredo Municipality"", ""Ciudad Deportiva (Nuevo Laredo)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/003_2hop__701895_752697
4,2hop__259228_793698,Where is Ulrich Walter's employer headquartered?,"[""Cologne""]","Munich, Germany",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Philae (spacecraft)"", ""Ulrich Walter""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/004_2hop__259228_793698
5,2hop__481349_302087,Which company owns the manufacturer of Learjet 60?,"[""Bombardier Inc."", ""Bombardier""]",Bombardier,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,[],"[""List of Bombardier CRJ operators"", ""Learjet 60""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/005_2hop__481349_302087
6,2hop__697790_864352,Who is the child of Caroline LeRoy's spouse?,"[""Fletcher Webster""]",Joseph LeRoy,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Fletcher Webster"", ""Caroline LeRoy""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/006_2hop__697790_864352
7,2hop__207476_625987,"Who is the grandmother of Philippe, Duke of Orléans?","[""Marie de' Medici""]",Queen Victoria,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Philippe I, Duke of Orléans"", ""Leonora Dori""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/007_2hop__207476_625987
8,2hop__390947_232243,What is the goal of the group that European Movement Germany is a member of?,"[""European integration""]","To promote European integration and support the development of a united, democratic, and federal Europe",0,1,0.266667,0.266667,0.153846,0.266667,0.153846,0.083333,0.0,0.0,0.645161,0,[],"[""Bernd Hüttemann"", ""European Movement International""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/008_2hop__390947_232243
9,2hop__354635_174222,What company succeeded the owner of Empire Sports Network?,"[""Time Warner Cable"", ""Time Warner""]",MSG Network,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Empire Sports Network"", ""Windjammer Communications""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/009_2hop__354635_174222
10,2hop__635187_861533,What province shares a border with the province where Lago District is located?,"[""Cabo Delgado Province""]",Huánuco,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Niassa Reserve"", ""Lago District""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/010_2hop__635187_861533
11,2hop__166824_185403,What league does the team that plays in Stadio Ciro Vigorito play for?,"[""Lega Pro Prima Divisione""]",Serie B,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Stadio Ciro Vigorito"", ""Carmelo Imbriani""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/011_2hop__166824_185403
12,2hop__698577_851686,What is a notable work written by the author of The Timothy files?,"[""Anderson Tapes"", ""The Anderson Tapes""]",The X-Files (TV series),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""The Timothy Files"", ""The Anderson Tapes (novel)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/012_2hop__698577_851686
13,2hop__362107_652514,In which borough was Callum McManaman born?,"[""Knowsley"", ""Metropolitan Borough of Knowsley""]",Wigan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Callum McManaman"", ""Whiston, Merseyside""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/013_2hop__362107_652514
14,2hop__402530_774333,What other county does the county where Imperial is located share a border with?,"[""Crockett County""]",Riverside County,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0,[],"[""Lancaster Crossing"", ""Imperial, Texas""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/014_2hop__402530_774333
15,2hop__195917_575657,In what county is William W. Blair's birthplace located?,"[""Orleans County"", ""Orleans County, New York""]",Chautauqua County,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0,[],"[""William W. Blair"", ""Holley, New York""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/015_2hop__195917_575657
16,2hop__683835_709167,What award did the author of The Red Tree receive?,"[""Academy Award for Best Animated Short Film""]",The Kate Greenaway Medal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Passion Pictures"", ""The Red Tree (Shaun Tan)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/016_2hop__683835_709167
17,2hop__197470_271394,Where was Tyler MacDuff's child educated?,"[""Blair High School""]","Tyler MacDuff's child was educated at the University of California, Los Angeles (UCLA)",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Dana MacDuff""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/017_2hop__197470_271394
18,2hop__458131_174974,Who is the spouse of the Rabbit Hole's producer?,"[""Keith Urban""]",Not publicly disclosed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Planet Cake"", ""Rabbit Hole (film)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/018_2hop__458131_174974
19,2hop__299142_347613,Who is the child of Sigrid Eskilsdotter's child?,"[""Svante Stensson Sture""]",Sten Sture the Elder,0,0,0.333333,0.333333,0.0,0.333333,0.333333,0.0,0.0,0.0,0.333333,0,[],"[""Sigrid Sture"", ""Sigrid Eskilsdotter (Banér)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/019_2hop__299142_347613
20,2hop__528263_865831,In which county is Kimbrough Memorial Stadium located?,"[""Randall County"", ""Randall County, Texas""]",Washita County,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0,[],"[""Kimbrough Memorial Stadium"", ""Canyon, Texas""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/020_2hop__528263_865831
21,2hop__569582_304416,What record label is the performer of Almost Made Ya signed to?,"[""Derrty Entertainment""]",Atlantic Records,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Almost Made Ya"", ""Kinfolk (album)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_qwen_api_20260520_104234_closed_book_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/021_2hop__569582_304416
