index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,2hop__460946_294723,Who is the spouse of the Green performer?,"[""Miquette Giraudy""]",Norm Nixon,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""List of show business families"", ""Mok Kwai-lan"", ""Green"", ""Green"", ""Green (Steve Hillage album)""]","[""Miquette Giraudy"", ""Green (Steve Hillage album)""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/001_2hop__460946_294723
2,2hop__252311_366220,Who founded the company that distributed the film UHF?,"[""Mike Medavoy""]",Orion Pictures,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""UHF (film)"", ""Amblin Entertainment"", ""SModcast Pictures"", ""Videodrome"", ""Marketwired""]","[""Mike Medavoy"", ""UHF (film)""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/002_2hop__252311_366220
3,2hop__701895_752697,What administrative territorial entity is the owner of Ciudad Deportiva located?,"[""Tamaulipas""]",Nuevo Laredo,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Minsk Region"", ""Cyprus Popular Bank"", ""Pangi Territory"", ""Ciudad Deportiva (Nuevo Laredo)"", ""Tumaraa""]","[""Nuevo Laredo Municipality"", ""Ciudad Deportiva (Nuevo Laredo)""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/003_2hop__701895_752697
4,2hop__259228_793698,Where is Ulrich Walter's employer headquartered?,"[""Cologne""]","The context does not specify Ulrich Walser's employer, as he was the builder/owner of his own house and no employer is mentioned",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[""Ulrich Walser House"", ""Schlage"", ""Cork (city)"", ""Southampton"", ""Full-time""]","[""Philae (spacecraft)"", ""Ulrich Walter""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/004_2hop__259228_793698
5,2hop__481349_302087,Which company owns the manufacturer of Learjet 60?,"[""Bombardier Inc."", ""Bombardier""]",Bombardier Aerospace,0,1,0.666667,0.666667,0.0,0.666667,0.5,0.0,0.0,0.0,0.909091,1,"[""Learjet 60"", ""Rosenlew"", ""David Copperfield (illusionist)"", ""Wagner Manufacturing Company"", ""Tip Top Bakeries""]","[""List of Bombardier CRJ operators"", ""Learjet 60""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/005_2hop__481349_302087
6,2hop__697790_864352,Who is the child of Caroline LeRoy's spouse?,"[""Fletcher Webster""]","Caroline LeRoy's spouse, Daniel Webster, had no children with her",0,0,0.153846,0.153846,0.0,0.153846,0.090909,0.0,0.0,0.0,0.344828,1,"[""Princess Stéphanie of Monaco"", ""Caroline LeRoy"", ""Leroy (name)"", ""Choptank River"", ""Sweet Caroline""]","[""Fletcher Webster"", ""Caroline LeRoy""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/006_2hop__697790_864352
7,2hop__207476_625987,"Who is the grandmother of Philippe, Duke of Orléans?","[""Marie de' Medici""]",Anne of Austria,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Philippe I, Duke of Orléans"", ""François d'Orléans, Prince of Joinville"", ""Louise Élisabeth d'Orléans"", ""Infante Henrique, Duke of Coimbra"", ""Mercedes of Orléans""]","[""Philippe I, Duke of Orléans"", ""Leonora Dori""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/007_2hop__207476_625987
8,2hop__390947_232243,What is the goal of the group that European Movement Germany is a member of?,"[""European integration""]",To promote European integration and disseminate information about it,0,1,0.363636,0.363636,0.222222,0.363636,0.222222,0.125,0.0,0.0,0.740741,1,"[""European Movement International"", ""Bernd Hüttemann"", ""François Pillet"", ""Alain Milon"", ""Michel Guerry""]","[""Bernd Hüttemann"", ""European Movement International""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/008_2hop__390947_232243
9,2hop__354635_174222,What company succeeded the owner of Empire Sports Network?,"[""Time Warner Cable"", ""Time Warner""]",Time Warner Cable,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,"[""Empire Sports Network"", ""Ottoman Empire"", ""Highway 1 (Afghanistan)"", ""Comcast Sports Southwest"", ""Tennis on CBS""]","[""Empire Sports Network"", ""Windjammer Communications""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/009_2hop__354635_174222
10,2hop__635187_861533,What province shares a border with the province where Lago District is located?,"[""Cabo Delgado Province""]",Tanzania,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Lago District"", ""Swan Miara"", ""Tuymazinsky District"", ""Cherdynsky District"", ""Novolaksky District""]","[""Niassa Reserve"", ""Lago District""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_104345_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/010_2hop__635187_861533
