index,sample_id,question,gold,pred,exact_match,f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,bert_f1,meteor,sbert_similarity,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,evidence_titles_used,gold_support_titles,runtime_evidence_count,run_dir,metric_exact_match,metric_f1,metric_rouge1_f,metric_rouge2_f,metric_rougeL_f,metric_bleu1,metric_bleu2,metric_bleu3,metric_bleu4,metric_meteor,metric_bert_f1,metric_sbert_similarity
0,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,6,7,575,frontier_empty,state,state_1,[],"[""Scott Derrickson"", ""Ed Wood""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/000_5a8b57f25542995d1e6f1371,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,0.0,0.6,0.6,0.5,0.6,0.42857142857142855,0.3333333333333333,0.2,0.0,,0.8823529411764707,,6,6,416,frontier_empty,memory,memory_mem_7,"[""Shirley Temple"", ""Kiss and Tell (1945 film)"", ""A Kiss for Corliss""]","[""Kiss and Tell (1945 film)"", ""Shirley Temple""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/001_5a8c7595554299585d9e36b6,0,0.666667,0.666667,0.571429,0.666667,0.5,0.4,0.25,0.0,0.909091,,
2,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,411,frontier_empty,state,state_1,[],"[""The Hork-Bajir Chronicles"", ""Animorphs""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/002_5a85ea095542994775f606a8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,323,frontier_empty,state,state_1,[],"[""Laleli Mosque"", ""Esma Sultan Mansion""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/003_5adbf0a255429947ff17385a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,4,4,273,frontier_empty,memory,memory_mem_7,"[""Adriana Trigiani""]","[""Big Stone Gap (film)"", ""Adriana Trigiani""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/004_5a8e3ea95542995a26add48d,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
5,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,5,6,547,frontier_empty,state,state_1,[],"[""2014 S/S"", ""Winner (band)""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/005_5abd94525542992ac4f382d2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,200,frontier_empty,state,state_1,[],"[""Eenasul Fateh"", ""Management consulting""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/006_5a85b2d95542997b5ce40028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","1,400",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,2,327,frontier_empty,memory,memory_mem_7,"[""Dwyer Arena""]","[""Lewiston Maineiacs"", ""Androscoggin Bank Colisée""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/007_5a87ab905542996e4f3088c1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
8,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Annie Morton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,2,200,frontier_empty,memory,memory_mem_7,"[""Annie Morton"", ""Lady Gaga x Terry Richardson""]","[""Annie Morton"", ""Terry Richardson""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/008_5a7bbb64554299042af8f7cc,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,yes,Yes,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,,2,2,191,high_confidence_root_memory,memory,memory_mem_7,"[""For Against"", ""William H. Cook Water Tank House"", ""Local H""]","[""Local H"", ""For Against""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/009_5a8db19d5542994ba4e3dd00,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,
10,5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1,2,230,frontier_empty,state,state_1,[],"[""Kansas Song"", ""University of Kansas""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/010_5a7166395542994082a3e814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11,5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,The Family Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,2,215,frontier_empty,memory,memory_mem_7,"[""The Family Man"", ""Deadfall (1993 film)"", ""David Weissman""]","[""David Weissman"", ""The Family Man""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/011_5a877e5d5542993e715abf7d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12,5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,447,frontier_empty,state,state_1,[],"[""Oh My God (Guns N' Roses song)"", ""End of Days (film)""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/012_5ab3b0bf5542992ade7c6e39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,483,frontier_empty,state,state_1,[],"[""Random House Tower"", ""888 7th Avenue""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/013_5ab56e32554299637185c594,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
14,5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,295,frontier_empty,state,state_1,[],"[""1995–96 Manchester United F.C. season"", ""Alex Ferguson""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/014_5ab6d09255429954757d337d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15,5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,317,frontier_empty,state,state_1,[],"[""Brown State Fishing Lake"", ""Brown County, Kansas""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/015_5a75e05c55429976ec32bc5f,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
16,5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,148,frontier_empty,state,state_1,[],"[""Vermont Catamounts men's soccer"", ""America East Conference""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/016_5ab3e45655429976abd1bcd4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
17,5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,243,frontier_empty,state,state_1,[],"[""Giuseppe Verdi"", ""Ambroise Thomas""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/017_5ab29c24554299449642c932,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
18,5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,320,frontier_empty,state,state_1,[],"[""Roger O. Egeberg"", ""Richard Nixon""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/018_5ae0d4c9554299603e418468,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
