index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,2hop__496961_554601,What's the place of birth of the former member of The Sunnyboys?,"[""Kingscliff"", ""Kingscliff, New South Wales""]","Sydney, Australia",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Sunnyboys"", ""Jeremy Oxley""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/001_2hop__496961_554601
2,2hop__29368_29376,What event caused the founder of Australia's liberal party to become Prime Minister?,"[""Lyons' death in 1939""]",The 1949 federal election,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Liberal Party of Australia""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/002_2hop__29368_29376
3,2hop__77601_814677,What pantheon is the God of the underworld in ancient Egypt a part of?,"[""ancient Egyptian religion""]",Egyptian pantheon,0,0,0.4,0.4,0.0,0.4,0.303265,0.0,0.0,0.0,0.344828,0,[],"[""Hapi (Son of Horus)"", ""Osiris""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/003_2hop__77601_814677
4,2hop__92051_827343,Who is the sibling of the actress who played Susan Walker in Miracle on 34th street?,"[""Lana Wood""]",Edward Norton,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Five Finger Exercise"", ""Miracle on 34th Street""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/004_2hop__92051_827343
5,2hop__16581_16525,When did the person who first brought a postal service into Umayyad lands become caliph?,"[""661""]",717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Umayyad Caliphate""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/005_2hop__16581_16525
6,2hop__88906_55840,"In the King's Speech, who played the person who was the King of England in 1950?","[""Colin Firth""]",Colin Firth,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,[],"[""The King's Speech"", ""George VI""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/006_2hop__88906_55840
7,2hop__555792_30351,Who did Hayek work for upon being hired by the author of Omnipotent Government?,"[""the Austrian government"", ""Austria"", ""AT"", ""at"", ""AUT""]",Ludwig von Mises,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Omnipotent Government"", ""Friedrich Hayek""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/007_2hop__555792_30351
8,2hop__10122_18974,Who led the military expedition to where now Min dialects are spoken on border with Zhejiang?,"[""Chen Zheng""]",Zhu Yuanzhang,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Hokkien"", ""Zhejiang""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/008_2hop__10122_18974
9,2hop__326404_120065,When did Charles Frederick II's birthplace fall?,"[""1738""]",1723,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Merseburg"", ""Charles Frederick II, Duke of Württemberg-Oels""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/009_2hop__326404_120065
10,2hop__16844_20510,When was the entity that was dissolved after the Indian Rebellion in 1857 chartered?,"[""1600""]",1600,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,[],"[""British Empire"", ""Queen Victoria""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/010_2hop__16844_20510
11,2hop__608902_653666,Who is the mother of Katharine Smith Salisbury's brother?,"[""Lucy Mack Smith""]",Lucy Mack Smith,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,[],"[""Katharine Smith Salisbury"", ""History of Joseph Smith by His Mother""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/011_2hop__608902_653666
12,2hop__61664_786853,Who is the spouse of the voice actor of Batman in The Lego Batman Movie?,"[""Amy Poehler""]",Charlene Merrell,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""On Broadway (film)"", ""The Lego Batman Movie""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/012_2hop__61664_786853
13,2hop__151705_141308,What company is I Dig Love's record label a part of?,"[""Apple Corps""]",Universal Music Group,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""I Dig Love"", ""Apple Records""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/013_2hop__151705_141308
14,2hop__424908_500483,"What shares a border with the administrative district where Bieliny, Świętokrzyskie Voivodeship is the capital?","[""Gmina Daleszyce""]",Świętokrzyskie Voivodeship,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Cisów-Orłowiny Landscape Park"", ""Bieliny, Świętokrzyskie Voivodeship""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/014_2hop__424908_500483
15,2hop__91626_96912,Who gives out the prize named after the author of The Wealth of Nations?,"[""University of Cambridge"", ""Cambridge""]",The Royal Swedish Academy of Sciences,0,0,0.25,0.25,0.0,0.25,0.2,0.0,0.0,0.0,0.3125,0,[],"[""Adam Smith Prize"", ""The Wealth of Nations""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/015_2hop__91626_96912
16,2hop__83800_747874,Who's the sibling of the player who won the men's wimbledon championship 2016?,"[""Jamie Murray""]",Serena Williams,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""2011 Valencia Open 500 – Doubles"", ""2016 Wimbledon Championships""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/016_2hop__83800_747874
17,2hop__814856_110882,What is the Smile performer's birthday?,"[""1 January 1986""]","October 12, 1994",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""James Cottriall"", ""Smile (James Cottriall song)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/017_2hop__814856_110882
18,2hop__263728_705527,Who is the father of the father of Anwer Ali?,"[""Ahmad Shah Bahadur""]",Anwer Ali's paternal grandfather,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Anwer Ali"", ""Qudsia Begum""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/018_2hop__263728_705527
19,2hop__88834_356793,Who is the father of Nim's actress in Return to Nim's Island?,"[""Steve Irwin"", ""The Crocodile Hunter""]",David Lyons,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Return to Nim's Island"", ""My Daddy, the Crocodile Hunter""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/019_2hop__88834_356793
20,2hop__13353_85402,What is the capitol of the country where the Prunus spinosa leaves much sooner?,"[""Brussels""]",London,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Biodiversity"", ""Belgium""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/020_2hop__13353_85402
21,2hop__2148_78851,Which professional sports team does not play their home games at the same location where the Amateur Boxing Golden Gloves event is held?,"[""Brooklyn Nets NBA"", ""Brooklyn""]",Chicago Cubs,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""New York City"", ""Sports in the New York metropolitan area""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/021_2hop__2148_78851
22,2hop__58168_38663,What was the percentage that the Dow Jones fell when the US had the highest unemployment rate?,"[""54.7%""]",24.4%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Tanzania"", ""Unemployment in the United States""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/022_2hop__58168_38663
23,2hop__58168_1783,Who was the mayor of New York during the time when the US had its highest unemployment rate?,"[""Fiorello La Guardia""]",Fiorello La Guardia,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,[],"[""Unemployment in the United States"", ""New York City""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/023_2hop__58168_1783
24,2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,"[""Clio Goldsmith""]",Mark Shand,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Queen of the Elephants"", ""Clio Goldsmith""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/024_2hop__752214_639679
25,2hop__265989_531490,Who is the mother of the screenwriter of WarGames?,"[""Jane Greer""]",Barbara Ferris,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Lawrence Lasker"", ""WarGames""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/025_2hop__265989_531490
26,2hop__557284_160249,Which years did the war with Antigone's spouse occur?,"[""323–272 BC""]","The war with Antigone's spouse, Haemon, did not occur; Haemon was not a military leader and no historical or mythological war is associated with him",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],"[""Hieronymus of Cardia"", ""Ptolemy (son of Pyrrhus)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/musique_closed_book_random_seed520_20260522_102103_closed_book_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/026_2hop__557284_160249
