index,sample_id,question,gold,pred,exact_match,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,evidence_titles_used,gold_support_titles,run_dir
0,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,1,1,1,320,llm_stop_with_root_memory,memory,memory_mem_6,"['Ed Wood (film)', 'Doctor Strange (2016 film)', 'Scott Derrickson']","['Scott Derrickson', 'Ed Wood']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/000_0
1,1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Secretary of State for Constitutional Affairs,0,4,5,1312,anytime_token_guard,state,state_1,[],"['Kiss and Tell (1945 film)', 'Shirley Temple']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/001_1
2,2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1,4,5,1312,anytime_token_guard,memory,memory_mem_6,['Animorphs'],"['The Hork-Bajir Chronicles', 'Animorphs']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/002_2
3,3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,1,4,5,1254,anytime_token_guard,memory,memory_mem_6,"['Esma Sultan Mansion', 'Laleli Mosque']","['Laleli Mosque', 'Esma Sultan Mansion']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/003_3
4,4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1,4,4,1280,anytime_token_guard,memory,memory_mem_6,"['Adriana Trigiani', 'Big Stone Gap (film)']","['Big Stone Gap (film)', 'Adriana Trigiani']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/004_4
5,5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,WINNER,0,4,4,1216,anytime_token_guard,memory,memory_mem_6,['2014 S/S'],"['2014 S/S', 'Winner (band)']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/005_5
6,6,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1,4,5,1312,anytime_token_guard,memory,memory_mem_6,['Eenasul Fateh'],"['Eenasul Fateh', 'Management consulting']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/006_6
7,7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","1,400",0,2,2,640,frontier_empty,memory,memory_mem_6,['Dwyer Arena'],"['Lewiston Maineiacs', 'Androscoggin Bank Colisée']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/007_7
8,8,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Annie Morton,0,4,4,1280,anytime_token_guard,memory,memory_mem_6,"['Annie Morton', 'Lady Gaga x Terry Richardson']","['Annie Morton', 'Terry Richardson']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/008_8
9,9,Are Local H and For Against both from the United States?,yes,Yes,1,2,2,640,high_confidence_root_memory,memory,memory_mem_6,"['For Against', 'William H. Cook Water Tank House', 'Local H']","['Local H', 'For Against']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/009_9
