index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,2hop__496961_554601,What's the place of birth of the former member of The Sunnyboys?,"[""Kingscliff"", ""Kingscliff, New South Wales""]","Sydney, Australia",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[""Census of Quirinius"", ""Star Trek: Birth of the Federation"", ""Female reproductive system"", ""Birth certificate"", ""La naissance d'Osiris""]","[""Sunnyboys"", ""Jeremy Oxley""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/001_2hop__496961_554601
2,2hop__29368_29376,What event caused the founder of Australia's liberal party to become Prime Minister?,"[""Lyons' death in 1939""]","The founder of Australia's Liberal Party, Robert Menzies, became Prime Minister in 1949 after leading the Liberal–Country coalition to victory in the federal election, defeating the Labor government of Ben Chifley",0,0,0.060606,0.060606,0.0,0.060606,0.034483,0.0,0.0,0.0,0.153846,1,"[""Barton Government"", ""History of Australia"", ""Lyons Government"", ""Liberal Party of Australia"", ""Prime minister""]","[""Liberal Party of Australia""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/002_2hop__29368_29376
3,2hop__77601_814677,What pantheon is the God of the underworld in ancient Egypt a part of?,"[""ancient Egyptian religion""]",Egyptian pantheon,0,0,0.4,0.4,0.0,0.4,0.303265,0.0,0.0,0.0,0.344828,1,"[""Osiris"", ""Greek underworld"", ""Romance of the Underworld"", ""Greek mythology"", ""Hapi (Son of Horus)""]","[""Hapi (Son of Horus)"", ""Osiris""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/003_2hop__77601_814677
4,2hop__92051_827343,Who is the sibling of the actress who played Susan Walker in Miracle on 34th street?,"[""Lana Wood""]",Mara Wilson,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Mara Wilson"", ""Tora Suber"", ""James Remar"", ""Miracle on 34th Street"", ""Susan Banks""]","[""Five Finger Exercise"", ""Miracle on 34th Street""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/004_2hop__92051_827343
5,2hop__16581_16525,When did the person who first brought a postal service into Umayyad lands become caliph?,"[""661""]",Mu'awiyah became caliph in 661 CE,0,1,0.25,0.25,0.0,0.25,0.142857,0.0,0.0,0.0,0.625,1,"[""Communications in Somalia"", ""Umayyad Caliphate"", ""United States Postal Service"", ""Punjab, Pakistan"", ""Poste Vaticane""]","[""Umayyad Caliphate""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/005_2hop__16581_16525
6,2hop__88906_55840,"In the King's Speech, who played the person who was the King of England in 1950?","[""Colin Firth""]",George VI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[""Lascelles Principles"", ""King James Version"", ""Gunhilde"", ""Raymond Márquez"", ""List of English monarchs""]","[""The King's Speech"", ""George VI""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/006_2hop__88906_55840
7,2hop__555792_30351,Who did Hayek work for upon being hired by the author of Omnipotent Government?,"[""the Austrian government"", ""Austria"", ""AT"", ""at"", ""AUT""]",Ludwig von Mises,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Friedrich Hayek"", ""Omnipotent Government"", ""Chris Metzen"", ""Jean de La Hire"", ""Friedrich Hayek""]","[""Omnipotent Government"", ""Friedrich Hayek""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/007_2hop__555792_30351
8,2hop__10122_18974,Who led the military expedition to where now Min dialects are spoken on border with Zhejiang?,"[""Chen Zheng""]","Chen Zheng and Chen Yuanguang, and later Wang Chao and Wang Shenzhi, led military expeditions to Fujian, where Min dialects are spoken",0,1,0.166667,0.166667,0.090909,0.166667,0.090909,0.047619,0.0,0.0,0.5,1,"[""Zhejiang"", ""Hokkien"", ""Normans"", ""Old English"", ""Somalis""]","[""Hokkien"", ""Zhejiang""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/008_2hop__10122_18974
9,2hop__326404_120065,When did Charles Frederick II's birthplace fall?,"[""1738""]",Merseburg fell to Prussia in 1815,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Electorate of Baden"", ""Charles Frederick II, Duke of Württemberg-Oels"", ""Anna of Hohenstaufen"", ""Kingdom of Naples"", ""Frederick Charles Adler""]","[""Merseburg"", ""Charles Frederick II, Duke of Württemberg-Oels""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/009_2hop__326404_120065
10,2hop__16844_20510,When was the entity that was dissolved after the Indian Rebellion in 1857 chartered?,"[""1600""]",1600,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""British Raj"", ""Queen Victoria"", ""Bahadur Shah Zafar"", ""Article 370 of the Constitution of India"", ""Modern history""]","[""British Empire"", ""Queen Victoria""]",5,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_random_seed520_20260523_100814_dense_rag_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/010_2hop__16844_20510
