index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,2hop__496961_554601,What's the place of birth of the former member of The Sunnyboys?,"[""Kingscliff"", ""Kingscliff, New South Wales""]","Kingscliff, New South Wales",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,"[""Sunnyboys"", ""Birth certificate"", ""Jeremy Oxley"", ""La Rosiere de Pessac"", ""Natural-born-citizen clause""]","[""Sunnyboys"", ""Jeremy Oxley""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/001_2hop__496961_554601
2,2hop__29368_29376,What event caused the founder of Australia's liberal party to become Prime Minister?,"[""Lyons' death in 1939""]","The Liberal–Country coalition won the 1949 federal election, defeating the Labor government led by Ben Chifley; this victory enabled Robert Menzies — as leader of the Liberal Party — to become Prime Minister for the second time",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Liberal Party of Australia"", ""Barton Government"", ""History of Australia"", ""Liberal Party of Australia"", ""Lyons Government""]","[""Liberal Party of Australia""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/002_2hop__29368_29376
3,2hop__77601_814677,What pantheon is the God of the underworld in ancient Egypt a part of?,"[""ancient Egyptian religion""]",Egyptian pantheon,0,0,0.4,0.4,0.0,0.4,0.303265,0.0,0.0,0.0,0.344828,1,"[""Greek mythology"", ""Romance of the Underworld"", ""Book of Exodus"", ""Temple of Kom Ombo"", ""Osiris""]","[""Hapi (Son of Horus)"", ""Osiris""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/003_2hop__77601_814677
4,2hop__92051_827343,Who is the sibling of the actress who played Susan Walker in Miracle on 34th street?,"[""Lana Wood""]",The context does not provide information about Mara Wilson's siblings,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Mara Wilson"", ""Tora Suber"", ""Susan Banks"", ""Miracle on 34th Street"", ""Mr. Noodle"", ""Mr. Noodle"", ""Mara Wilson"", ""Bit part"", ""The Miracle Child"", ""Miracle on 34th Street"", ""Mr. Noodle"", ""Mara Wilson"", ""Bit part"", ""The Miracle Child"", ""Miracle on 34th Street""]","[""Five Finger Exercise"", ""Miracle on 34th Street""]",15,3,max_steps,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/004_2hop__92051_827343
5,2hop__16581_16525,When did the person who first brought a postal service into Umayyad lands become caliph?,"[""661""]",661,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""Umayyad Caliphate"", ""Punjab, Pakistan"", ""Umayyad Caliphate"", ""Postage stamps and postal history of India"", ""Umayyad Caliphate""]","[""Umayyad Caliphate""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/005_2hop__16581_16525
6,2hop__88906_55840,"In the King's Speech, who played the person who was the King of England in 1950?","[""Colin Firth""]",Colin Firth,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""The King's Speech"", ""Lascelles Principles"", ""Dwight King"", ""Richard of Shrewsbury, Duke of York"", ""List of English monarchs""]","[""The King's Speech"", ""George VI""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/006_2hop__88906_55840
7,2hop__555792_30351,Who did Hayek work for upon being hired by the author of Omnipotent Government?,"[""the Austrian government"", ""Austria"", ""AT"", ""at"", ""AUT""]",Austrian government,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""Friedrich Hayek"", ""Chris Metzen"", ""Nicholas Eftimiades"", ""Form I-9"", ""Omnipotent Government""]","[""Omnipotent Government"", ""Friedrich Hayek""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/007_2hop__555792_30351
8,2hop__10122_18974,Who led the military expedition to where now Min dialects are spoken on border with Zhejiang?,"[""Chen Zheng""]","Chen Zheng and his son Chen Yuanguang; and later, Wang Chao and Wang Shenzhi",0,1,0.25,0.25,0.142857,0.25,0.142857,0.076923,0.0,0.0,0.625,1,"[""Zhejiang"", ""Hokkien"", ""Normans"", ""Old English"", ""Hokkien""]","[""Hokkien"", ""Zhejiang""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/008_2hop__10122_18974
9,2hop__326404_120065,When did Charles Frederick II's birthplace fall?,"[""1738""]","The name ""Charles Frederick II"" does not appear in the provided context, and no information about his birthplace or its fall is given",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[""Electorate of Baden"", ""Kingdom of Naples"", ""Andronikos V Palaiologos"", ""Cornstalk Heights"", ""Prince Louis Charles of Prussia"", ""Cornstalk Heights"", ""Kingdom of Naples"", ""Andronikos V Palaiologos"", ""Margaret of the Palatinate"", ""List of That '70s Show characters"", ""Kingdom of Naples"", ""Cornstalk Heights"", ""Andronikos V Palaiologos"", ""Edward Proger"", ""Maximilian von Alopaeus""]","[""Merseburg"", ""Charles Frederick II, Duke of Württemberg-Oels""]",15,3,max_steps,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/009_2hop__326404_120065
10,2hop__16844_20510,When was the entity that was dissolved after the Indian Rebellion in 1857 chartered?,"[""1600""]",1600,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""Article 370 of the Constitution of India"", ""Queen Victoria"", ""British Raj"", ""British Empire"", ""Modern history""]","[""British Empire"", ""Queen Victoria""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_random_seed520_20260523_100943_ircot_qwen-plus_tok1200_n100_random100_seed520_tok1200/runs/010_2hop__16844_20510
