index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,5ac02e31554299294b218f3f,Which post DC Extended Universe actress will also play a role in what is intended to be the fifth installment of the DC Extended Universe?,"[""Gal Gadot""]",Gal Gadot,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""Aquaman (film)"", ""Justice League (film)"", ""Gal Gadot"", ""Suicide Squad (film)"", ""Man of Steel (film)"", ""Wonder Woman (2017 film)"", ""Batman v Superman: Dawn of Justice"", ""List of DC Extended Universe cast members"", ""DC Extended Universe"", ""Arrowverse""]","[""Justice League (film)"", ""Gal Gadot""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/001_5ac02e31554299294b218f3f
2,5adea9ea55429939a52fe934,"What was the name of the fanzine that interviewed the Sex Pistols bassist when he was in the band ""The Flowers of Romance?""","[""SKUM""]",SKUM,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""The Flowers of Romance (band)"", ""Live at Winterland 1978 (Avengers album)"", ""Glen Matlock"", ""Ex Pistols"", ""Sid Vicious"", ""The Idols with Sid Vicious"", ""Nancy Spungen"", ""Bodies (Sex Pistols song)"", ""The Swindle Continues"", ""Revolution in the Classroom""]","[""The Flowers of Romance (band)"", ""Sid Vicious""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/002_5adea9ea55429939a52fe934
3,5a8e3dc05542995085b37401,"Which case was decided first, Selle v. Gibb or Reynolds v. Sims?","[""1964""]",Sims,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Selle v. Gibb"", ""West v. Barnes"", ""Reynolds v. Sims"", ""George Reynolds (Mormon)"", ""Charles Morgan Jr."", ""Reynolds v. United States"", ""Reynolds v. Pegler"", ""Reynolds v Times Newspapers Ltd"", ""Jameel v Wall Street Journal Europe Sprl"", ""Criminal law in the Waite Court""]","[""Selle v. Gibb"", ""Reynolds v. Sims""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/003_5a8e3dc05542995085b37401
4,5adc1ae5554299438c868d5c,Hate Them is the ninth album by a band likened to who?,"[""Motörhead""]",Motörhead,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""Darkthrone"", ""Hate Them"", ""Lonestar discography"", ""I Hate Myself (for Loving You)"", ""Liquid Acrobat as Regards the Air"", ""Osc-Dis"", ""Free (Bonfire album)"", ""Still Restless"", ""Timbiriche VIII &amp; IX"", ""Reckless (Jeremy Camp album)""]","[""Hate Them"", ""Darkthrone""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/004_5adc1ae5554299438c868d5c
5,5ab811e95542995dae37ea22,"With whom did this American singer, songwriter and record producer, who contributed to the single ""Marvin Gaye"" with Julie Frost, co-produced and performed the 2015 song for a movie soundtrack?","[""Wiz Khalifa""]",Wiz Khalifa,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""Charlie Puth"", ""Julie Frost"", ""Marvin Gaye (song)"", ""Marvin Gaye"", ""Heavy Love Affair"", ""Marvin Gaye discography"", ""Marvin &amp; Chardonnay"", ""Let's Get It On (song)"", ""Let Your Conscience Be Your Guide"", ""Lucky, Lucky Me""]","[""Julie Frost"", ""Charlie Puth""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/005_5ab811e95542995dae37ea22
6,5a72a9ab5542992359bc315a,Which North American tribe inhabited the banks of the Winnipesaukee River and were also known as the Pawtucket people?,"[""the Pennacook people""]",Pennacook,0,1,0.666667,0.666667,0.0,0.666667,0.367879,0.0,0.0,0.0,0.526316,1,"[""Pennacook"", ""Lochmere Archeological District"", ""Sulphite Railroad Bridge"", ""Slater Park"", ""Kansas"", ""Aquadoctan"", ""History of Miami"", ""San Nicolas Island"", ""Pacaha"", ""Casqui""]","[""Lochmere Archeological District"", ""Pennacook""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/006_5a72a9ab5542992359bc315a
7,5adf69055542995534e8c7a4,Which part of Scotland is this institute found where Alice König is a lecturer in Latin and Classical Studies?,"[""St Andrews, Fife, Scotland""]",Fife,0,1,0.4,0.4,0.0,0.4,0.049787,0.0,0.0,0.0,0.27027,1,"[""Alice König"", ""University of St Andrews"", ""Hanumatpresaka Swami"", ""American Classical League"", ""Sonya Taaffe"", ""Professor of Greek (University College London)"", ""Mouseion"", ""Vanier College at York University"", ""Intercollegiate Center for Classical Studies"", ""Rice University School of Humanities""]","[""Alice König"", ""University of St Andrews""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/007_5adf69055542995534e8c7a4
8,5a85ae455542997175ce1ff0,What is Rachelle Amy Beinart's role in the film that follows a group of rebels on a mission?,"[""stunt performances""]",Stunt performer,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1,"[""Rachelle Beinart"", ""Rachelle Lefevre"", ""Operation Barras"", ""Rogue One"", ""Silver Circle (film)"", ""Doublecross (series)"", ""Amy O'Neill"", ""The Doom Generation"", ""Homeworld"", ""Rachelle Henry""]","[""Rachelle Beinart"", ""Rogue One""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/008_5a85ae455542997175ce1ff0
9,5ab9d44255429939ce03dc36,The History of Ranching is a mural that was originally located at an American brewery that in 1999 began trasfering its production to who?,"[""Miller Brewing""]",Miller Brewing,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""The History of Ranching (Winn)"", ""Pearl Brewing Company"", ""Untitled (Urban Wall)"", ""Pueblo Levee Mural Project"", ""Starr Hill Brewery"", ""Erie Brewing Company"", ""Gordon Biersch Brewing Company"", ""Bavarian Brewing Company"", ""Boulevard Brewing Company"", ""Stevens Point Brewery""]","[""The History of Ranching (Winn)"", ""Pearl Brewing Company""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/009_5ab9d44255429939ce03dc36
10,5ab344fc55429969a97a811e,Do Bloody Mary and Sidecar share any ingredients in common?,"[""no""]","Yes, lemon juice",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Sidecar (cocktail)"", ""Bacon martini"", ""Caesar (cocktail)"", ""Typhoon Mary (1960)"", ""The Bloody Mary Show"", ""Bloody Mary (Nerve Endings)"", ""Bloody Mary (cocktail)"", ""Bloody Mary (folklore)"", ""Bloody Mary Morning"", ""Agent 077: Mission Bloody Mary""]","[""Bloody Mary (cocktail)"", ""Sidecar (cocktail)""]",10,1,final_answer,False,stop,,primary,api=chat_completions,outputs/hotpot_ircot_sparse_random_seed20260504_20260507_155930_ircot_qwen-plus_tok1200_n100_random100_seed20260504_tok1200/runs/010_5ab344fc55429969a97a811e
