index,sample_id,question,gold,pred,exact_match,f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,bert_f1,meteor,sbert_similarity,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,evidence_titles_used,gold_support_titles,runtime_evidence_count,run_dir
0,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,4,5,1312,hard_budget_exhausted,state,state_1,[],"[""Scott Derrickson"", ""Ed Wood""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/000_5a8b57f25542995d1e6f1371
1,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,"The user is asking about the government position held by the woman who portrayed Corliss Archer in the film """,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,4,5,1312,anytime_token_guard,state,state_1,[],"[""Kiss and Tell (1945 film)"", ""Shirley Temple""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/001_5a8c7595554299585d9e36b6
2,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Animorphs""]","[""The Hork-Bajir Chronicles"", ""Animorphs""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/002_5a85ea095542994775f606a8
3,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Esma Sultan Mansion"", ""Laleli Mosque""]","[""Laleli Mosque"", ""Esma Sultan Mansion""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/003_5adbf0a255429947ff17385a
4,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,4,4,1280,anytime_token_guard,memory,memory_mem_7,"[""Adriana Trigiani""]","[""Big Stone Gap (film)"", ""Adriana Trigiani""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/004_5a8e3ea95542995a26add48d
5,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,"The user is asking about the debut album ""2014 S/S"" and wants to know who formed",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,4,5,1312,hard_budget_exhausted,state,state_1,[],"[""2014 S/S"", ""Winner (band)""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/005_5abd94525542992ac4f382d2
6,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,"The description says he's a Bangladeshi-British cultural practitioner, magician,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,state,state_1,[],"[""Eenasul Fateh"", ""Management consulting""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/006_5a85b2d95542997b5ce40028
7,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","1,400",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,2,640,frontier_empty,memory,memory_mem_7,"[""Dwyer Arena""]","[""Lewiston Maineiacs"", ""Androscoggin Bank Colisée""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/007_5a87ab905542996e4f3088c1
8,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Annie Morton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,2,640,frontier_empty,memory,memory_mem_7,"[""Annie Morton"", ""Lady Gaga x Terry Richardson""]","[""Annie Morton"", ""Terry Richardson""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/008_5a7bbb64554299042af8f7cc
9,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,yes,Yes,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,,2,2,640,high_confidence_root_memory,memory,memory_mem_7,"[""For Against"", ""William H. Cook Water Tank House"", ""Local H""]","[""Local H"", ""For Against""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/009_5a8db19d5542994ba4e3dd00
10,5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,"The branch campuses in Kansas City are also part of the University of Kansas, specifically the Edwards",0.0,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.058823529411764705,0.0,0.0,0.0,,0.2857142857142857,,1,2,416,frontier_empty,state,state_1,[],"[""Kansas Song"", ""University of Kansas""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/010_5a7166395542994082a3e814
11,5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,The Family Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,2,640,frontier_empty,memory,memory_mem_7,"[""The Family Man"", ""Deadfall (1993 film)"", ""David Weissman""]","[""David Weissman"", ""The Family Man""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/011_5a877e5d5542993e715abf7d
12,5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,"Next,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""End of Days (film)"", ""Get Christie Love!""]","[""Oh My God (Guns N' Roses song)"", ""End of Days (film)""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/012_5ab3b0bf5542992ade7c6e39
13,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,"It's used as the headquarters for Random House, a book publisher, and also as a luxury apartment complex",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,state,state_1,[],"[""Random House Tower"", ""888 7th Avenue""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/013_5ab56e32554299637185c594
14,5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,"Looking at the documents, [doc_10] Alex Ferguson is mentioned",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Ernest Mangnall""]","[""1995–96 Manchester United F.C. season"", ""Alex Ferguson""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/014_5ab6d09255429954757d337d
15,5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",But,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Brown State Fishing Lake""]","[""Brown State Fishing Lake"", ""Brown County, Kansas""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/015_5a75e05c55429976ec32bc5f
16,5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,North Atlantic Conference,0.0,0.8571428571428571,0.8571428571428571,0.8,0.8571428571428571,0.7165313105737893,0.7165313105737893,0.7165313105737893,0.0,,0.7692307692307693,,1,1,299,llm_stop_with_root_memory,memory,memory_mem_7,[],"[""Vermont Catamounts men's soccer"", ""America East Conference""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/016_5ab3e45655429976abd1bcd4
17,5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,"Oh, [doc_8] talks about Ferdinando",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,state,state_1,[],"[""Giuseppe Verdi"", ""Ambroise Thomas""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/017_5ab29c24554299449642c932
18,5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,It states he was Assistant Secretary for Health and Scientific Affairs in the Nixon administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Roger O. Egeberg""]","[""Roger O. Egeberg"", ""Richard Nixon""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/018_5ae0d4c9554299603e418468
19,5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,"Looking at [doc_9], it mentions that Erskine",0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.14285714285714285,0.0,0.0,0.0,,0.23255813953488375,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Henry Roth""]","[""Henry Roth"", ""Robert Erskine Childers""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/019_5a8133725542995ce29dcbdb
20,5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,Then it says Sergio Pérez is the only other Mexican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,state,state_1,[],"[""Formula One drivers from Mexico"", ""Sergio Pérez""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/020_5ae7a8175542993210983ed8
21,5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,"Next, the question is asking what hedgehog he voiced",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""A Rather Blustery Day""]","[""A Rather Blustery Day"", ""Jim Cummings""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/021_5ae6050f55429929b0807a5e
22,5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,So the question is asking for,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Apple Remote""]","[""Apple Remote"", ""Front Row (software)""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/022_5adddccd5542997dc7907069
23,5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?",Badly Drawn Boy,From,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Wolf Alice""]","[""Badly Drawn Boy"", ""Wolf Alice""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/023_5ae2070a5542994d89d5b313
24,5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,So his father is Peter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Peter Schmeichel""]","[""Kasper Schmeichel"", ""Peter Schmeichel""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/024_5ae22b8d554299234fd0440f
25,5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,But that doesn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,state,state_1,[],"[""These Boots Are Made for Walkin'"", ""Lee Hazlewood""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/025_5a722b8655429971e9dc9329
26,5adf37a95542995ec70e8f97,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,"However, none",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""2011–12 VCU Rams men's basketball team"", ""2010–11 VCU Rams men's basketball team""]","[""2011–12 VCU Rams men's basketball team"", ""Virginia Commonwealth University""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/026_5adf37a95542995ec70e8f97
27,5abd259d55429924427fcf1a,"Are both Dictyosperma, and Huernia described as a genus?",yes,"The term ""genus"" is used here, so Huernia is definitely",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,state,state_1,[],"[""Dictyosperma"", ""Huernia""]",2,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/027_5abd259d55429924427fcf1a
28,5a828c8355429966c78a6a50,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,Then [doc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_7,"[""Henry J. Kaiser""]","[""Kaiser Ventures"", ""Henry J. Kaiser""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/028_5a828c8355429966c78a6a50
29,5a8a3e745542996c9b8d5e70,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,Arena of Khazan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,,1,1,309,llm_stop_with_root_memory,memory,memory_mem_7,"[""Tunnels &amp; Trolls""]","[""Arena of Khazan"", ""Tunnels &amp; Trolls""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_170854/runs/029_5a8a3e745542996c9b8d5e70
