index,sample_id,question,gold,pred,exact_match,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason
1,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,"[""yes""]",,0,[],"[""Scott Derrickson"", ""Ed Wood""]",0,0,closed_book
2,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"[""Chief of Protocol""]",,0,[],"[""Kiss and Tell (1945 film)"", ""Shirley Temple""]",0,0,closed_book
3,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","[""Animorphs""]",,0,[],"[""The Hork-Bajir Chronicles"", ""Animorphs""]",0,0,closed_book
4,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"[""no""]",,0,[],"[""Laleli Mosque"", ""Esma Sultan Mansion""]",0,0,closed_book
5,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","[""Greenwich Village, New York City""]",,0,[],"[""Big Stone Gap (film)"", ""Adriana Trigiani""]",0,0,closed_book
6,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"[""YG Entertainment""]",,0,[],"[""2014 S/S"", ""Winner (band)""]",0,0,closed_book
7,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"[""Eenasul Fateh""]",,0,[],"[""Eenasul Fateh"", ""Management consulting""]",0,0,closed_book
8,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"[""3,677 seated""]",,0,[],"[""Lewiston Maineiacs"", ""Androscoggin Bank Colisée""]",0,0,closed_book
9,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?","[""Terry Richardson""]",,0,[],"[""Annie Morton"", ""Terry Richardson""]",0,0,closed_book
10,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,"[""yes""]",,0,[],"[""Local H"", ""For Against""]",0,0,closed_book
11,5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?","[""Kansas Song""]",,0,[],"[""Kansas Song"", ""University of Kansas""]",0,0,closed_book
12,5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?","[""David Weissman""]",,0,[],"[""David Weissman"", ""The Family Man""]",0,0,closed_book
13,5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,"[""1999""]",,0,[],"[""Oh My God (Guns N' Roses song)"", ""End of Days (film)""]",0,0,closed_book
14,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,"[""no""]",,0,[],"[""Random House Tower"", ""888 7th Avenue""]",0,0,closed_book
15,5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,"[""from 1986 to 2013""]",,0,[],"[""1995–96 Manchester United F.C. season"", ""Alex Ferguson""]",0,0,closed_book
