index,sample_id,question,gold,pred,exact_match,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,raw_generation,generation_empty,llm_finish_reason,llm_usage,llm_error,run_dir,context_doc_count
1,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,"[""yes""]",,0,"[""Woodson, Arkansas"", ""Doctor Strange (2016 film)"", ""Ed Wood (film)"", ""Conrad Brooks"", ""Adam Collis"", ""Scott Derrickson"", ""Tyler Bates"", ""Sinister (film)"", ""Deliver Us from Evil (2014 film)"", ""Ed Wood""]","[""Scott Derrickson"", ""Ed Wood""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130702,""id"":""chatcmpl-b44e9be5-f315-4d6c-bc21-edf07"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":6,""prompt_tokens"":5542,""total_tokens"":5548}}",True,stop,"{""completion_tokens"": 6, ""prompt_tokens"": 5542, ""total_tokens"": 5548}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/001_5a8b57f25542995d1e6f1371,10
2,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"[""Chief of Protocol""]",,0,"[""A Kiss for Corliss"", ""Kiss and Tell (1945 film)"", ""Secretary of State for Constitutional Affairs"", ""Lord High Treasurer"", ""Village accountant"", ""Charles Craft"", ""Meet Corliss Archer (TV series)"", ""Shirley Temple"", ""Janet Waldo"", ""Meet Corliss Archer""]","[""Kiss and Tell (1945 film)"", ""Shirley Temple""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130706,""id"":""chatcmpl-e4d37b6c-3a64-447e-b376-9952b"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":5647,""total_tokens"":5659}}",True,stop,"{""completion_tokens"": 12, ""prompt_tokens"": 5647, ""total_tokens"": 5659}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/002_5a8c7595554299585d9e36b6,10
3,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","[""Animorphs""]",,0,"[""Animorphs"", ""Science Fantasy (magazine)"", ""The Hork-Bajir Chronicles"", ""Etiquette &amp; Espionage"", ""List of Square Enix companion books"", ""Left Behind: The Kids"", ""Victoria Hanley"", ""Andre Norton Award"", ""Shadowshaper"", ""The Divide trilogy""]","[""The Hork-Bajir Chronicles"", ""Animorphs""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130708,""id"":""chatcmpl-f8eaa154-0f06-445d-91e1-8f30f"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":7,""prompt_tokens"":5902,""total_tokens"":5909}}",True,stop,"{""completion_tokens"": 7, ""prompt_tokens"": 5902, ""total_tokens"": 5909}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/003_5a85ea095542994775f606a8,10
4,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"[""no""]",,0,"[""Laleli Mosque"", ""Esma Sultan Mansion"", ""Djamaâ el Kebir"", ""Sultan Ahmed Mosque"", ""Esma Sultan (daughter of Abdul Hamid I)"", ""Esma Sultan (daughter of Ahmed III)"", ""Gevheri Kadın"", ""Esma Sultan (daughter of Abdülaziz)"", ""Esma Sultan"", ""Küçük Hüseyin Pasha""]","[""Laleli Mosque"", ""Esma Sultan Mansion""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130714,""id"":""chatcmpl-5bc47981-e046-41ec-8b9e-17370"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":26,""prompt_tokens"":5376,""total_tokens"":5402}}",True,stop,"{""completion_tokens"": 26, ""prompt_tokens"": 5376, ""total_tokens"": 5402}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/004_5adbf0a255429947ff17385a,10
5,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","[""Greenwich Village, New York City""]",,0,"[""Big Stone Gap (film)"", ""Adriana Trigiani"", ""Kingston Morning"", ""Clinton, Minnesota"", ""I Love NY (2015 film)"", ""Just Another Romantic Wrestling Comedy"", ""Nola (film)"", ""New York Society of Model Engineers"", ""Great Eastern Conventions"", ""Hamish and Andy's Gap Year""]","[""Big Stone Gap (film)"", ""Adriana Trigiani""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130717,""id"":""chatcmpl-fb38f489-1ed1-417e-91c4-2d048"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":7,""prompt_tokens"":5682,""total_tokens"":5689}}",True,stop,"{""completion_tokens"": 7, ""prompt_tokens"": 5682, ""total_tokens"": 5689}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/005_5a8e3ea95542995a26add48d,10
6,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"[""YG Entertainment""]",,0,"[""2014 S/S"", ""Madtown"", ""Winner (band)"", ""SF9 (band)"", ""BTS discography"", ""List of awards and nominations received by Shinee"", ""History (band)"", ""List of songs written by Ravi"", ""Seventeen discography"", ""Cho Kyuhyun""]","[""2014 S/S"", ""Winner (band)""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130719,""id"":""chatcmpl-4bc2d0a3-0a5d-4d17-9d0e-98fd2"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":6,""prompt_tokens"":5698,""total_tokens"":5704}}",True,stop,"{""completion_tokens"": 6, ""prompt_tokens"": 5698, ""total_tokens"": 5704}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/006_5abd94525542992ac4f382d2,10
7,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"[""Eenasul Fateh""]",,0,"[""Management consulting"", ""Lil Ru"", ""Eenasul Fateh"", ""ELDee"", ""Amaruk Kayshapanta"", ""James P. Comer"", ""Method Man"", ""Mick (DJ)"", ""Indriati Iskak"", ""Criss Angel""]","[""Eenasul Fateh"", ""Management consulting""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130725,""id"":""chatcmpl-506bb6bf-8f3a-449d-b81a-29714"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":9,""prompt_tokens"":6175,""total_tokens"":6184}}",True,stop,"{""completion_tokens"": 9, ""prompt_tokens"": 6175, ""total_tokens"": 6184}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/007_5a85b2d95542997b5ce40028,10
8,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"[""3,677 seated""]",,0,"[""Dwyer Arena"", ""Loan modification in the United States"", ""Billings Bulls"", ""2006–07 QMJHL season"", ""2011–12 QMJHL season"", ""Case Gym"", ""Lewiston Maineiacs"", ""2007 Memorial Cup"", ""Robins Center"", ""Androscoggin Bank Colisée""]","[""Lewiston Maineiacs"", ""Androscoggin Bank Colisée""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130730,""id"":""chatcmpl-d8e0e68c-0284-4d9a-b7d1-d7e35"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":7,""prompt_tokens"":7250,""total_tokens"":7257}}",True,stop,"{""completion_tokens"": 7, ""prompt_tokens"": 7250, ""total_tokens"": 7257}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/008_5a87ab905542996e4f3088c1,10
9,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?","[""Terry Richardson""]",,0,"[""Annie Morton"", ""Gumbo (PJ Morton album)"", ""Kenton Richardson"", ""Terry Richardson"", ""Madonna (book)"", ""Amanda Lepore"", ""Index Magazine"", ""Lady Gaga x Terry Richardson"", ""Snoecks"", ""Piano Girl""]","[""Annie Morton"", ""Terry Richardson""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130733,""id"":""chatcmpl-bb42bfc3-30d6-4199-ac26-c765f"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":8,""prompt_tokens"":5671,""total_tokens"":5679}}",True,stop,"{""completion_tokens"": 8, ""prompt_tokens"": 5671, ""total_tokens"": 5679}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/009_5a7bbb64554299042af8f7cc,10
10,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,"[""yes""]",,0,"[""For Against"", ""Suffrajett"", ""Amherst, Massachusetts"", ""Ophur"", ""William H. Cook Water Tank House"", ""Mendocino County GMO Ban"", ""United States Senate election in Illinois, 1978"", ""Wilford H. Fawcett House"", ""Local H"", ""Hallelujah! I'm a Bum (album)""]","[""Local H"", ""For Against""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777130738,""id"":""chatcmpl-4338fcfb-da93-4787-b601-1c2e2"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":6,""prompt_tokens"":5699,""total_tokens"":5705}}",True,stop,"{""completion_tokens"": 6, ""prompt_tokens"": 5699, ""total_tokens"": 5705}",,outputs/hotpot_sparse_rag_api_20260425_152458_sparse_rag_gpt-5.4_tok1200_n15/runs/010_5a8db19d5542994ba4e3dd00,10
