index,sample_id,question,gold,pred,exact_match,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,run_dir,metric_exact_match,metric_f1,metric_rouge1_f,metric_rouge2_f,metric_rougeL_f,metric_bleu1,metric_bleu2,metric_bleu3,metric_bleu4,metric_meteor,metric_bert_f1,metric_sbert_similarity
0,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,1,4,4,1105,llm_stop_with_root_memory,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/000_0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,
1,1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1,5,5,813,frontier_empty,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/001_1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,
2,2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1,1,1,129,llm_stop_with_root_memory,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/002_2,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,
3,3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,1,3,4,478,frontier_empty,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/003_3,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,
4,4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1,4,4,590,high_confidence_root_memory,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/004_4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
5,5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,,0,5,6,640,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/005_5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6,6,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,,0,2,3,277,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/006_6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","1,400",0,1,1,292,llm_stop_with_root_memory,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/007_7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
8,8,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Annie Morton,0,1,1,187,llm_stop_with_root_memory,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/008_8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9,9,Are Local H and For Against both from the United States?,yes,Yes,1,1,1,145,llm_stop_with_root_memory,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/009_9,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,
