index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,steps,llm_calls,generated_tokens,stop_reason,anytime_answer,anytime_answer_score,anytime_answer_source,best_node_type,best_node_id,run_dir
0,0,"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born?",7 January 1936,7 January 1936,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,3,6,476,frontier_empty,7 January 1936,0.8664303977112746,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/000_0
1,1,Which of the movie which has Rich Lee 3-D previsualizations was directed by Francis Lawrence?,Constantine,The Hunger Games: Mockingjay – Part 2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,9,955,final_synthesis_reserve,The Hunger Games: Mockingjay – Part 2,0.8849523942604398,final_synthesis,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/001_1
2,2,"The album ""The Best of LeAnn Rimes"" contained a song used as the theme song for a film. What is the name of the film?",Coyote Ugly,Coyote Ugly,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,6,10,667,frontier_empty,Coyote Ugly,0.9853797779385454,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/002_2
3,3,The song Arizona was recorded by Paul Revere and Mark Lindsay but who wrote the song?,Kenny Young,Kenny Young,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,1,3,71,llm_stop_with_root_memory,Kenny Young,0.9311736523308083,memory,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/003_3
4,4,The History of Ranching is a mural that was originally located at an American brewery that in 1999 began trasfering its production to who?,Miller Brewing,Miller Brewing,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,4,10,922,llm_stop_with_root_memory,Miller Brewing,0.8735999999999999,final_synthesis,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/004_4
5,5,"Young Sheldon, the tv series that follows the character Sheldon Cooper at the age of 9, is a spin-off from what prequel?","""The Big Bang Theory""",The Big Bang Theory,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1,3,74,llm_stop_with_root_memory,The Big Bang Theory,0.9215626909124376,memory,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/005_5
6,6,What is another name for the LRA featured in A Brilliant Genocide?,United Holy Salvation Army and Uganda Christian Army/Movement,United Holy Salvation Army and Uganda Christian Army/Movement,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,8,12,941,final_synthesis_reserve,United Holy Salvation Army and Uganda Christian Army/Movement,0.8953368640374444,expansion_candidate,state,state_3,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/006_6
7,7,What is the name of the 1999 film directed by Roman Polanski and starring his wife Emmanuelle Seigner that was a world-wide success but critically and commercially unsuccessful in North America?,The Ninth Gate,The Ninth Gate,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,6,8,890,high_confidence_root_memory,The Ninth Gate,1.0,grounded,state,state_2,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/007_7
8,8,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,tennis,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,3,7,439,llm_stop_with_root_memory,tennis,1.0,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/008_8
9,9,"Which founder of Alcatraz East was born on March 31, 1956?",John Morgan,John Morgan,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,7,13,1121,frontier_empty,John Morgan,0.8205759929140465,expansion_candidate,state,state_7,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/009_9
10,10,What was the code name of the campaign where Joe Foss received a Medal of Honor?,Operation Watchtower,Operation Watchtower,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,4,8,591,frontier_empty,Operation Watchtower,0.9441944977343276,final_synthesis,state,state_3,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/010_10
11,11,"George H. W. Bush,  a resident of West Oaks Subdivision in Houston Texas, became what number President in 1989?",41st,41,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,5,271,llm_stop_with_root_memory,41st,0.8649492560826213,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/011_11
