index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,5adf58f15542993a75d264d2,"Which television series featured an actor who also performed in ""The Young Ones""?","[""\""The Comic Strip Presents...\""""]",Filthy Rich & Catflap,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Ade Edmondson"", ""Filthy Rich &amp; Catflap"", ""The Young Ones (TV series)"", ""Ben Elton"", ""David Mirkin"", ""Carole Gray"", ""Roland Rat"", ""Bad News (band)"", ""The Young Ones (video game)"", ""Oh, No! Not THEM!""]","[""Bad News (band)"", ""Ade Edmondson""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/001_5adf58f15542993a75d264d2
2,5ab4107a554299753aec5a2f,The Dogwoman telemovies were created by an actress born in what year?,"[""1961""]",1961,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""Dogwoman"", ""Hanneke Niens"", ""Tiz Zaqyah"", ""Mariko Shiga"", ""Gina Pareño"", ""Izara Aishah"", ""Maggie Moore"", ""Jennifer Jayne"", ""Neva Carr Glyn"", ""Magda Szubanski""]","[""Dogwoman"", ""Magda Szubanski""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/002_5ab4107a554299753aec5a2f
3,5a7dedef5542995f4f40231a,"Which English actor, comedian and singer is featured in Chalk and Cheese?","[""Michael Patrick Smith""]",Michael Crawford,0,0,0.4,0.4,0.0,0.4,0.303265,0.0,0.0,0.0,0.344828,1,"[""Dan Clark"", ""Richard Cheese"", ""Michael Crawford"", ""Binomial pair"", ""Chalk and Cheese"", ""Tommy Knight"", ""Ken Barrie"", ""Mark Benton"", ""Robin Chalk"", ""Roger Kitter""]","[""Chalk and Cheese"", ""Michael Crawford""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/003_5a7dedef5542995f4f40231a
4,5a8b81bc55429949d91db5b8,What type of publication does St. Anthony Messenger and Revolver have in common?,"[""magazine""]",magazine,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""Franciscan Media"", ""St. Anthony Hall"", ""Feast of St. Anthony"", ""St. Anthony Messenger"", ""Hospital Brothers of St. Anthony"", ""Revolver (magazine)"", ""St. Anthony's Catholic Church (Davenport, Iowa)"", ""Alfred Boeddeker"", ""Old Cathedral of St. Anthony, Guaratinguetá"", ""St. Anthony's Church""]","[""St. Anthony Messenger"", ""Revolver (magazine)""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/004_5a8b81bc55429949d91db5b8
5,5ade6b67554299728e26c71c,"Michael Pollock was was a senior officer in the United Kingdom's naval warfare force, also known as the what?","[""Royal Navy""]",Senior Service,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Michael Pollock"", ""Flag Officer Scotland and Northern Ireland"", ""Royal Navy"", ""People's Liberation Army Navy"", ""Her Majesty's Naval Service"", ""Tang Xiangming"", ""Royal Air Force"", ""Adriatic Campaign of World War II"", ""Naval gunfire support"", ""Fuerza de Guerra Naval Especial""]","[""Michael Pollock"", ""Royal Navy""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/005_5ade6b67554299728e26c71c
6,5ae6911955429908198fa626,M.F.A. starred the actress known for starring in what E! reality series?,"[""Mrs. Eastwood & Company""]",Mrs. Eastwood & Company,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,"[""Francesca Eastwood"", ""M.F.A. (film)"", ""Life of Kylie"", ""Jack Osbourne"", ""Gene Simmons Family Jewels"", ""Qristina Ribohn"", ""Howard Schultz (producer)"", ""Jackie Ferm"", ""Sony Channel (South Africa)"", ""Yes TV""]","[""M.F.A. (film)"", ""Francesca Eastwood""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/006_5ae6911955429908198fa626
7,5a8cca64554299653c1aa125,"who were James Hill and John Vereker, 6th Viscount Gort officers for?","[""British Army""]","James Hill was an officer in the British Army; John Vereker, 6th Viscount Gort was an officer in the British Army",0,1,0.210526,0.210526,0.117647,0.210526,0.117647,0.0625,0.0,0.0,0.571429,1,"[""James Hill (British Army officer)"", ""Thomas Butler, 6th Viscount Ikerrin"", ""John Vereker, 6th Viscount Gort"", ""John Vereker, 3rd Viscount Gort"", ""John Vereker, 5th Viscount Gort"", ""Charles Vereker, 2nd Viscount Gort"", ""Joshua Allen, 6th Viscount Allen"", ""Colin Vereker, 8th Viscount Gort"", ""Viscount Bulkeley"", ""Standish Vereker, 7th Viscount Gort""]","[""James Hill (British Army officer)"", ""John Vereker, 6th Viscount Gort""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/007_5a8cca64554299653c1aa125
8,5a80b0565542996402f6a5f0,"Which band was formed first, Lit or Adorable?","[""Adorable""]",Adorable,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""Adorable (band)"", ""Dubrovniks"", ""Lit (band)"", ""SV St. Georg"", ""Harris, Forbes &amp; Co."", ""West Bengal Legislative Assembly election, 1967"", ""Konstantin Vakulovsky"", ""Liberty Baptist Church (Grooverville, Georgia)"", ""Primary rock"", ""Japp–Maitland condensation""]","[""Lit (band)"", ""Adorable (band)""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/008_5a80b0565542996402f6a5f0
9,5ac0641f554299294b218fbe,Immanuel Lutheran School is affiliated with the denomination that has how many members?,"[""2.1 million""]",2.1 million,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,"[""Immanuel Lutheran School (Perryville, Missouri)"", ""Lutheran Church–Missouri Synod"", ""Lincoln Lutheran Middle/High School"", ""Evergreen Lutheran High School"", ""Trinity Lutheran School (Orlando, Florida)"", ""Gutnius Lutheran Church"", ""Immanuel Lutheran Church (Hodgkins, Illinois)"", ""Immanuel Lutheran Church (Valparaiso, Indiana)"", ""Christ Community Lutheran School"", ""Immanuel Lutheran Church""]","[""Immanuel Lutheran School (Perryville, Missouri)"", ""Lutheran Church–Missouri Synod""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/009_5ac0641f554299294b218fbe
10,5ae3c0cc5542992f92d82369,"Peter Marc Jacobson is best known as the co-creator of the popular sitcom ""The Nanny"", which he created and wrote with his then wife an actress born in which year ?","[""1957""]",1957,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""Peter Marc Jacobson"", ""Bill Lawrence (TV producer)"", ""Marta Kauffman"", ""Norby (TV series)"", ""The Nanny (season 1)"", ""List of The Nanny episodes"", ""Happily Divorced"", ""Fran Drescher"", ""Doris Hare"", ""List of Happily Divorced episodes""]","[""Peter Marc Jacobson"", ""Fran Drescher""]",10,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/hotpot_sparse_rag_random_seed1962_20260510_033728_sparse_rag_qwen-plus_tok1200_n100_random100_seed1962_tok1200/runs/010_5ae3c0cc5542992f92d82369
