id,question,gold_answer,final_answer,stop_reason,steps,llm_calls,generated_tokens,run_output_dir,status
dev_0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,London,hard_budget_exhausted,8,8,2560,outputs/20260326_063951,ok
dev_1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Christopher Nolan,frontier_empty,7,7,2240,outputs/20260326_064135,ok
dev_2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Christopher Nolan,frontier_empty,2,3,722,outputs/20260326_064307,ok
dev_3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,London,frontier_empty,2,3,677,outputs/20260326_064343,ok
dev_4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Christopher Nolan,frontier_empty,2,2,640,outputs/20260326_064417,ok
dev_5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,London,frontier_empty,3,3,960,outputs/20260326_064450,ok
dev_6,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,London,frontier_empty,5,5,1600,outputs/20260326_064535,ok
dev_7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated",Christopher Nolan,hard_budget_exhausted,8,9,2612,outputs/20260326_064643,ok
dev_8,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Christopher Nolan,frontier_empty,5,6,1696,outputs/20260326_064831,ok
dev_9,Are Local H and For Against both from the United States?,yes,Christopher Nolan,frontier_empty,3,3,960,outputs/20260326_064942,ok
dev_10,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Christopher Nolan,frontier_empty,7,8,2297,outputs/20260326_065028,ok
dev_11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,Christopher Nolan,frontier_empty,2,2,640,outputs/20260326_065202,ok
dev_12,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Christopher Nolan,frontier_empty,3,4,1048,outputs/20260326_065236,ok
dev_13,Are Random House Tower and 888 7th Avenue both used for real estate?,no,,,,,,outputs/20260326_065324,error_1
