dev_0	Were Scott Derrickson and Ed Wood of the same nationality?	yes
dev_1	What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?	Chief of Protocol
dev_2	What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?	Animorphs
dev_3	Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?	no
dev_4	The director of the romantic comedy "Big Stone Gap" is based in what New York city?	Greenwich Village, New York City
dev_5	2014 S/S is the debut album of a South Korean boy group that was formed by who?	YG Entertainment
dev_6	Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?	Eenasul Fateh
dev_7	The arena where the Lewiston Maineiacs played their home games can seat how many people?	3,677 seated
dev_8	Who is older, Annie Morton or Terry Richardson?	Terry Richardson
dev_9	Are Local H and For Against both from the United States?	yes
dev_10	What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?	Kansas Song
dev_11	What screenwriter with credits for "Evolution" co-wrote a film starring Nicolas Cage and Téa Leoni?	David Weissman
dev_12	What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?	1999
dev_13	Are Random House Tower and 888 7th Avenue both used for real estate?	no
dev_14	The football manager who recruited David Beckham managed Manchester United during what timeframe?	from 1986 to 2013
dev_15	Brown State Fishing Lake is in a country that has a population of how many inhabitants ?	9,984
dev_16	The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?	the North Atlantic Conference
dev_17	Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?	yes
dev_18	Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?	1969 until 1974
dev_19	Which writer was from England, Henry Roth or Robert Erskine Childers?	Robert Erskine Childers DSC
dev_20	Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?	Pedro Rodríguez
dev_21	This singer of A Rather Blustery Day also voiced what hedgehog?	Sonic
dev_22	Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?	keyboard function keys
dev_23	Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? 	Badly Drawn Boy
dev_24	What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?	World's Best Goalkeeper
dev_25	Who was the writer of These Boots Are Made for Walkin' and who died in 2007?	Barton Lee Hazlewood
dev_26	The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?	1838
dev_27	Are both Dictyosperma, and Huernia described as a genus?	yes
dev_28	Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?	Henry J. Kaiser
dev_29	What is the name for the adventure in "Tunnels and Trolls", a game designed by Ken St. Andre?	Arena of Khazan
dev_30	When was Poison's album "Shut Up, Make Love" released?	2000
dev_31	Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?	Fujioka, Gunma
dev_32	Which  French ace pilot and adventurer fly L'Oiseau Blanc	Charles Eugène
dev_33	Are Freakonomics and In the Realm of the Hackers both American documentaries?	no
dev_34	Which band, Letters to Cleo or Screaming Trees, had more members?	Letters to Cleo
dev_35	Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?	October 1922
dev_36	Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?	2000
dev_37	The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?	World War II
dev_38	Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?	no
dev_39	Ralph Hefferline was a psychology professor at a university that is located in what city?	New York City
dev_40	Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?	Scotch Collie
dev_41	Where is the company that Sachin Warrier worked for as a software engineer headquartered? 	Mumbai
dev_42	A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?	1962
dev_43	The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?	sovereignty
dev_44	Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?	Nelson Rockefeller
dev_45	A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?	Yellowcraig
dev_46	Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?	Phil Spector
dev_47	What type of forum did a former Soviet statesman initiate?	Organizations could come together to address global issues
dev_48	Are Ferocactus and Silene both types of plant?	yes
dev_49	Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?	English Electric Canberra
