index,sample_id,question,gold,pred,exact_match,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,"[""yes""]",Yes,1,[],"[""Scott Derrickson"", ""Ed Wood""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/001_5a8b57f25542995d1e6f1371
2,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"[""Chief of Protocol""]",U.S. Ambassador to Ghana,0,[],"[""Kiss and Tell (1945 film)"", ""Shirley Temple""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/002_5a8c7595554299585d9e36b6
3,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","[""Animorphs""]",The Remnant Chronicles,0,[],"[""The Hork-Bajir Chronicles"", ""Animorphs""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/003_5a85ea095542994775f606a8
4,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"[""no""]",No,1,[],"[""Laleli Mosque"", ""Esma Sultan Mansion""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/004_5adbf0a255429947ff17385a
5,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","[""Greenwich Village, New York City""]",New York City,0,[],"[""Big Stone Gap (film)"", ""Adriana Trigiani""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/005_5a8e3ea95542995a26add48d
6,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"[""YG Entertainment""]",JYP Entertainment,0,[],"[""2014 S/S"", ""Winner (band)""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/006_5abd94525542992ac4f382d2
7,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"[""Eenasul Fateh""]",Alan L. Kagan,0,[],"[""Eenasul Fateh"", ""Management consulting""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/007_5a85b2d95542997b5ce40028
8,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"[""3,677 seated""]","3,670",0,[],"[""Lewiston Maineiacs"", ""Androscoggin Bank Colisée""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/008_5a87ab905542996e4f3088c1
9,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?","[""Terry Richardson""]",Terry Richardson,1,[],"[""Annie Morton"", ""Terry Richardson""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/009_5a7bbb64554299042af8f7cc
10,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,"[""yes""]",Yes,1,[],"[""Local H"", ""For Against""]",0,0,closed_book,False,stop,,primary,api=chat_completions,outputs/hotpot_closed_book_qwen_api_20260501_141340_closed_book_qwen-plus_tok1200_n15_qwen_tok1200_n15/runs/010_5a8db19d5542994ba4e3dd00
