index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,2hop__460946_294723,Who is the spouse of the Green performer?,"[""Miquette Giraudy""]",Not specified in the provided contexts,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[""List of show business families"", ""Countess Charlotte Brabantina of Nassau"", ""Mok Kwai-lan"", ""Star Trek: Discovery"", ""Star Trek: Discovery"", ""Star Trek: Discovery"", ""Star Trek: Discovery"", ""Star Trek: Discovery"", ""List of show business families"", ""Mok Kwai-lan"", ""Star Trek: Discovery"", ""Star Trek: Discovery"", ""Star Trek: Discovery"", ""List of show business families"", ""Mok Kwai-lan""]","[""Miquette Giraudy"", ""Green (Steve Hillage album)""]",15,3,max_steps,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/001_2hop__460946_294723
2,2hop__252311_366220,Who founded the company that distributed the film UHF?,"[""Mike Medavoy""]",Mike Medavoy,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""SModcast Pictures"", ""Amblin Entertainment"", ""Videodrome"", ""UHF (film)"", ""Equity Music Group"", ""Mike Medavoy"", ""SModcast Pictures"", ""UHF (film)"", ""Videodrome"", ""Equity Music Group""]","[""Mike Medavoy"", ""UHF (film)""]",10,2,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/002_2hop__252311_366220
3,2hop__701895_752697,What administrative territorial entity is the owner of Ciudad Deportiva located?,"[""Tamaulipas""]",Municipality of Nuevo Laredo,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Minsk Region"", ""Ciudad Deportiva (Nuevo Laredo)"", ""Buenos Aires Argentina Temple"", ""Tumaraa"", ""Sportivo Italiano""]","[""Nuevo Laredo Municipality"", ""Ciudad Deportiva (Nuevo Laredo)""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/003_2hop__701895_752697
4,2hop__259228_793698,Where is Ulrich Walter's employer headquartered?,"[""Cologne""]",Unknown,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[""Southampton"", ""Schlage"", ""New Haven, Connecticut"", ""Mount Meigs Campus"", ""Full-time"", ""Ulrich Franzen"", ""Schlage"", ""Full-time"", ""Cork (city)"", ""Ulrich Walser House"", ""Ulrich Franzen"", ""Schlage"", ""Full-time"", ""Cork (city)"", ""Ulrich Walser House""]","[""Philae (spacecraft)"", ""Ulrich Walter""]",15,3,max_steps,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/004_2hop__259228_793698
5,2hop__481349_302087,Which company owns the manufacturer of Learjet 60?,"[""Bombardier Inc."", ""Bombardier""]",Bombardier Inc,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""Learjet 60"", ""Commer"", ""Rosenlew"", ""Wagner Manufacturing Company"", ""Plansee SE""]","[""List of Bombardier CRJ operators"", ""Learjet 60""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/005_2hop__481349_302087
6,2hop__697790_864352,Who is the child of Caroline LeRoy's spouse?,"[""Fletcher Webster""]","Daniel Fletcher Webster, Julia Webster, and others from his first marriage",0,1,0.307692,0.307692,0.181818,0.307692,0.181818,0.1,0.0,0.0,0.689655,1,"[""Caroline LeRoy"", ""Sweet Caroline"", ""The Memory Keeper's Daughter"", ""Marshall Eriksen"", ""Leroy Township, Ingham County, Michigan""]","[""Fletcher Webster"", ""Caroline LeRoy""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/006_2hop__697790_864352
7,2hop__207476_625987,"Who is the grandmother of Philippe, Duke of Orléans?","[""Marie de' Medici""]",Margaret of Austria,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Lionel Medeiros"", ""François d'Orléans, Prince of Joinville"", ""Louis Philippe I"", ""Philippe I, Duke of Orléans"", ""Louise Élisabeth d'Orléans"", ""Marie Anne de Bourbon"", ""Philippe I, Duke of Orléans"", ""Jean-Michel Oughourlian"", ""Constance of Burgundy"", ""Leonora Dori""]","[""Philippe I, Duke of Orléans"", ""Leonora Dori""]",10,2,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/007_2hop__207476_625987
8,2hop__390947_232243,What is the goal of the group that European Movement Germany is a member of?,"[""European integration""]",To promote European integration and disseminate information about it,0,1,0.363636,0.363636,0.222222,0.363636,0.222222,0.125,0.0,0.0,0.740741,1,"[""European Movement International"", ""Bernd Hüttemann"", ""Franck Proust"", ""Daniel Marsin"", ""Ignazio Corrao""]","[""Bernd Hüttemann"", ""European Movement International""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/008_2hop__390947_232243
9,2hop__354635_174222,What company succeeded the owner of Empire Sports Network?,"[""Time Warner Cable"", ""Time Warner""]",Time Warner Cable and Comcast,0,1,0.75,0.75,0.666667,0.75,0.6,0.5,0.333333,0.0,0.9375,1,"[""Empire Sports Network"", ""Highway 1 (Afghanistan)"", ""Nova Sports"", ""Fox Sports West and Prime Ticket"", ""Ottoman Empire""]","[""Empire Sports Network"", ""Windjammer Communications""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/009_2hop__354635_174222
10,2hop__635187_861533,What province shares a border with the province where Lago District is located?,"[""Cabo Delgado Province""]",Cabo Delgado Province,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,"[""Lago District"", ""Swan Miara"", ""Lago Verde (Queyras)"", ""Niassa Reserve"", ""Gmina Włodawa""]","[""Niassa Reserve"", ""Lago District""]",5,1,final_answer,False,stop,,primary,api=chat_completions,outputs/musique_ircot_sparse_qwen_api_20260520_104421_ircot_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/010_2hop__635187_861533
